business_id,beneficiary_account_number,source,beneficiary_id,customer_type,beneficiary_type,customer_creation_date,beneficiary_account_holder_name,nick_name,is_active,country_of_beneficiary,currency,bank_name,swift_code,beneficiary_created_date,beneficiary_updated_date,legal_type,two_factor_auth_status,cooldown,beneficiary_address_first_line,beneficiary_address_city,beneficiary_address_state,beneficiary_address_country,beneficiary_address_post_code
B4023,770200000001,payment,SME-BEN-000474,SME,local,2022-07-13,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2024-02-19 09:54:00,2024-02-19 10:54:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B4024,770200000001,payment,SME-BEN-000475,SME,local,2022-07-30,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2024-03-01 09:55:00,2024-03-01 10:55:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B4025,770200000001,payment,SME-BEN-000476,SME,local,2022-08-16,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2024-03-12 09:56:00,2024-03-12 10:56:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B4026,770200000001,payment,SME-BEN-000477,SME,local,2022-09-02,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2024-03-23 09:57:00,2024-03-23 10:57:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B4027,770200000001,payment,SME-BEN-000478,SME,local,2022-09-19,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2024-04-03 09:58:00,2024-04-03 10:58:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B4028,770200000001,payment,SME-BEN-000479,SME,local,2022-10-06,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2024-04-14 09:59:00,2024-04-14 10:59:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B4029,770200000001,payment,SME-BEN-000480,SME,local,2022-10-23,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2023-01-01 09:00:00,2023-01-01 10:00:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B4030,770200000001,payment,SME-BEN-000481,SME,local,2022-11-09,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2023-01-12 09:01:00,2023-01-12 10:01:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B4031,770200000001,payment,SME-BEN-000482,SME,local,2022-11-26,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2023-01-23 09:02:00,2023-01-23 10:02:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B4032,770200000001,payment,SME-BEN-000483,SME,local,2022-12-13,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2023-02-03 09:03:00,2023-02-03 10:03:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B4033,770200000001,payment,SME-BEN-000484,SME,local,2022-12-30,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2023-02-14 09:04:00,2023-02-14 10:04:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B4034,770200000001,payment,SME-BEN-000485,SME,local,2023-01-16,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2023-02-25 09:05:00,2023-02-25 10:05:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B4035,770200000001,payment,SME-BEN-000486,SME,local,2023-02-02,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2023-03-08 09:06:00,2023-03-08 10:06:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B4036,770200000001,payment,SME-BEN-000487,SME,local,2023-02-19,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2023-03-19 09:07:00,2023-03-19 10:07:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B4037,770200000001,payment,SME-BEN-000488,SME,local,2023-03-08,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2023-03-30 09:08:00,2023-03-30 10:08:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B4038,770200000001,payment,SME-BEN-000489,SME,local,2023-03-25,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2023-04-10 09:09:00,2023-04-10 10:09:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B4039,770200000001,payment,SME-BEN-000490,SME,local,2023-04-11,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2023-04-21 09:10:00,2023-04-21 10:10:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B4040,770200000001,payment,SME-BEN-000491,SME,local,2023-04-28,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2023-05-02 09:11:00,2023-05-02 10:11:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B4041,770200000001,payment,SME-BEN-000492,SME,local,2023-05-15,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2023-05-13 09:12:00,2023-05-13 10:12:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B4042,770200000001,payment,SME-BEN-000493,SME,local,2023-06-01,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2023-05-24 09:13:00,2023-05-24 10:13:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B4043,770200000001,payment,SME-BEN-000494,SME,local,2023-06-18,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2023-06-04 09:14:00,2023-06-04 10:14:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B4044,770200000001,payment,SME-BEN-000495,SME,local,2023-07-05,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2023-06-15 09:15:00,2023-06-15 10:15:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B4045,770200000001,payment,SME-BEN-000496,SME,local,2023-07-22,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2023-06-26 09:16:00,2023-06-26 10:16:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B4046,770200000001,payment,SME-BEN-000497,SME,local,2023-08-08,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2023-07-07 09:17:00,2023-07-07 10:17:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B4047,770200000001,payment,SME-BEN-000498,SME,local,2023-08-25,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2023-07-18 09:18:00,2023-07-18 10:18:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B4048,770200000001,payment,SME-BEN-000499,SME,local,2023-09-11,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2023-07-29 09:19:00,2023-07-29 10:19:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B4049,770200000001,payment,SME-BEN-000500,SME,local,2023-09-28,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2023-08-09 09:20:00,2023-08-09 10:20:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B4050,770200000001,payment,SME-BEN-000501,SME,local,2023-10-15,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2023-08-20 09:21:00,2023-08-20 10:21:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
