account_id,customer_id,entity_type,account_number,iban,account_currency,account_status,account_opened_date,account_closed_date
ACC-R8030-001,R8030,RETAIL,800000000030,AE070330000800000000030,AED,ACTIVE,2022-06-06,
ACC-R8031-001,R8031,RETAIL,800000000031,AE070330000800000000031,AED,ACTIVE,2023-07-07,
ACC-R8032-001,R8032,RETAIL,800000000032,AE070330000800000000032,AED,ACTIVE,2024-08-08,
ACC-R8033-001,R8033,RETAIL,800000000033,AE070330000800000000033,AED,ACTIVE,2021-09-09,
ACC-R8034-001,R8034,RETAIL,800000000034,AE070330000800000000034,AED,ACTIVE,2022-10-10,
ACC-R8035-001,R8035,RETAIL,800000000035,AE070330000800000000035,AED,ACTIVE,2023-11-11,
ACC-R8036-001,R8036,RETAIL,800000000036,AE070330000800000000036,AED,ACTIVE,2024-12-12,
ACC-R8037-001,R8037,RETAIL,800000000037,AE070330000800000000037,AED,ACTIVE,2021-01-13,
ACC-R8038-001,R8038,RETAIL,800000000038,AE070330000800000000038,AED,ACTIVE,2022-02-14,
ACC-R8039-001,R8039,RETAIL,800000000039,AE070330000800000000039,AED,ACTIVE,2023-03-15,
ACC-R8040-001,R8040,RETAIL,800000000040,AE070330000800000000040,AED,ACTIVE,2024-04-16,
ACC-R8041-001,R8041,RETAIL,800000000041,AE070330000800000000041,AED,ACTIVE,2021-05-17,
ACC-R8042-001,R8042,RETAIL,800000000042,AE070330000800000000042,AED,ACTIVE,2022-06-18,
ACC-R8043-001,R8043,RETAIL,800000000043,AE070330000800000000043,AED,ACTIVE,2023-07-19,
ACC-R8044-001,R8044,RETAIL,800000000044,AE070330000800000000044,AED,ACTIVE,2024-08-20,
ACC-R8045-001,R8045,RETAIL,800000000045,AE070330000800000000045,AED,ACTIVE,2021-09-21,
ACC-R8046-001,R8046,RETAIL,800000000046,AE070330000800000000046,AED,ACTIVE,2022-10-22,
ACC-R8047-001,R8047,RETAIL,800000000047,AE070330000800000000047,AED,ACTIVE,2023-11-23,
ACC-R8048-001,R8048,RETAIL,800000000048,AE070330000800000000048,AED,ACTIVE,2024-12-24,
ACC-R8049-001,R8049,RETAIL,800000000049,AE070330000800000000049,AED,ACTIVE,2021-01-01,
ACC-R8050-001,R8050,RETAIL,800000000050,AE070330000800000000050,AED,ACTIVE,2022-02-02,
ACC-R8051-001,R8051,RETAIL,800000000051,AE070330000800000000051,AED,ACTIVE,2023-03-03,
ACC-R8052-001,R8052,RETAIL,800000000052,AE070330000800000000052,AED,ACTIVE,2024-04-04,
ACC-R8053-001,R8053,RETAIL,800000000053,AE070330000800000000053,AED,ACTIVE,2021-05-05,
ACC-R8054-001,R8054,RETAIL,800000000054,AE070330000800000000054,AED,ACTIVE,2022-06-06,
ACC-R8055-001,R8055,RETAIL,800000000055,AE070330000800000000055,AED,ACTIVE,2023-07-07,
ACC-R8056-001,R8056,RETAIL,800000000056,AE070330000800000000056,AED,ACTIVE,2024-08-08,
ACC-R8057-001,R8057,RETAIL,800000000057,AE070330000800000000057,AED,ACTIVE,2021-09-09,
ACC-R8058-001,R8058,RETAIL,800000000058,AE070330000800000000058,AED,ACTIVE,2022-10-10,
ACC-R8059-001,R8059,RETAIL,800000000059,AE070330000800000000059,AED,ACTIVE,2023-11-11,
ACC-R8060-001,R8060,RETAIL,800000000060,AE070330000800000000060,AED,ACTIVE,2024-12-12,
ACC-R8061-001,R8061,RETAIL,800000000061,AE070330000800000000061,AED,ACTIVE,2021-01-13,
ACC-R8062-001,R8062,RETAIL,800000000062,AE070330000800000000062,AED,ACTIVE,2022-02-14,
ACC-R8063-001,R8063,RETAIL,800000000063,AE070330000800000000063,AED,ACTIVE,2023-03-15,
ACC-R8064-001,R8064,RETAIL,800000000064,AE070330000800000000064,AED,ACTIVE,2024-04-16,
ACC-R8065-001,R8065,RETAIL,800000000065,AE070330000800000000065,AED,ACTIVE,2021-05-17,
ACC-R8066-001,R8066,RETAIL,800000000066,AE070330000800000000066,AED,ACTIVE,2022-06-18,
ACC-R8067-001,R8067,RETAIL,800000000067,AE070330000800000000067,AED,ACTIVE,2023-07-19,
ACC-R8068-001,R8068,RETAIL,800000000068,AE070330000800000000068,AED,ACTIVE,2024-08-20,
ACC-R8069-001,R8069,RETAIL,800000000069,AE070330000800000000069,AED,ACTIVE,2021-09-21,
ACC-R8070-001,R8070,RETAIL,800000000070,AE070330000800000000070,AED,ACTIVE,2022-10-22,
ACC-R8071-001,R8071,RETAIL,800000000071,AE070330000800000000071,AED,ACTIVE,2023-11-23,
ACC-R8072-001,R8072,RETAIL,800000000072,AE070330000800000000072,AED,ACTIVE,2024-12-24,
ACC-R8073-001,R8073,RETAIL,800000000073,AE070330000800000000073,AED,ACTIVE,2021-01-01,
ACC-R8074-001,R8074,RETAIL,800000000074,AE070330000800000000074,AED,ACTIVE,2022-02-02,
ACC-R8075-001,R8075,RETAIL,800000000075,AE070330000800000000075,AED,ACTIVE,2023-03-03,
ACC-R8076-001,R8076,RETAIL,800000000076,AE070330000800000000076,AED,ACTIVE,2024-04-04,
ACC-R8077-001,R8077,RETAIL,800000000077,AE070330000800000000077,AED,ACTIVE,2021-05-05,
ACC-R8078-001,R8078,RETAIL,800000000078,AE070330000800000000078,AED,ACTIVE,2022-06-06,
ACC-B9001-001,B9001,SME,900000000001,AE070330000900000000001,AED,ACTIVE,2020-01-01,
ACC-B9002-001,B9002,SME,900000000002,AE070330000900000000002,AED,ACTIVE,2021-02-02,
ACC-B9003-001,B9003,SME,900000000003,AE070330000900000000003,AED,ACTIVE,2022-03-03,
ACC-B9004-001,B9004,SME,900000000004,AE070330000900000000004,AED,ACTIVE,2023-04-04,
ACC-B9005-001,B9005,SME,900000000005,AE070330000900000000005,AED,ACTIVE,2024-05-05,
ACC-B9006-001,B9006,SME,900000000006,AE070330000900000000006,AED,ACTIVE,2020-06-06,
ACC-B9007-001,B9007,SME,900000000007,AE070330000900000000007,AED,ACTIVE,2021-07-07,
ACC-B9008-001,B9008,SME,900000000008,AE070330000900000000008,AED,ACTIVE,2022-08-08,
ACC-B9009-001,B9009,SME,900000000009,AE070330000900000000009,AED,ACTIVE,2023-09-09,
ACC-B9010-001,B9010,SME,900000000010,AE070330000900000000010,AED,ACTIVE,2024-10-10,
ACC-B9011-001,B9011,SME,900000000011,AE070330000900000000011,AED,ACTIVE,2020-11-11,
ACC-B9012-001,B9012,SME,900000000012,AE070330000900000000012,AED,ACTIVE,2021-12-12,
ACC-B9013-001,B9013,SME,900000000013,AE070330000900000000013,AED,ACTIVE,2022-01-13,
ACC-B9014-001,B9014,SME,900000000014,AE070330000900000000014,AED,ACTIVE,2023-02-14,
ACC-B9015-001,B9015,SME,900000000015,AE070330000900000000015,AED,ACTIVE,2024-03-15,
ACC-B9016-001,B9016,SME,900000000016,AE070330000900000000016,AED,ACTIVE,2020-04-16,
ACC-B9017-001,B9017,SME,900000000017,AE070330000900000000017,AED,ACTIVE,2021-05-17,
ACC-B9018-001,B9018,SME,900000000018,AE070330000900000000018,AED,ACTIVE,2022-06-18,
